ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	phase	genesym
ENSG00000113721.14_PDGFRB	192.607390791943	-0.379341987950958	0.136225522153041	-2.78466165484608	0.005358360375877	0.0107527130968481	Mid Phase	ENSG00000113721_PDGFRB
ENSG00000146674.16_IGFBP3	100.630838343208	-0.299724906215206	0.112780360187658	-2.6575984126712	0.0078699609182717	0.0153745353888094	Mid Phase	ENSG00000146674_IGFBP3
ENSG00000183691.6_NOG	148.270092756055	-0.24995202990252	0.138594788527164	-1.80347351122463	0.0713138818340859	0.114949987129714	Mid Phase	ENSG00000183691_NOG
ENSG00000283124.3_LINC01355	61.5081214687086	-0.227770923511721	0.0700040524689141	-3.25368197238102	0.0011391973647342	0.0025137087170384	Mid Phase	ENSG00000283124_LINC01355
ENSG00000109943.9_CRTAM	184.405359288912	-0.197689628676768	0.0754801959967018	-2.61909267810335	0.0088163991383447	0.0170663017877787	Mid Phase	ENSG00000109943_CRTAM
ENSG00000072310.18_SREBF1	1110.32274869356	-0.159581916003439	0.0727219898298978	-2.19441074669042	0.0282058940165758	0.0497234456005648	Mid Phase	ENSG00000072310_SREBF1
ENSG00000065989.16_PDE4A	410.279609773328	-0.134996154797202	0.0636886949004777	-2.11962507644648	0.0340376759968205	0.0590070245229135	Mid Phase	ENSG00000065989_PDE4A
ENSG00000256553.1_TRAV1-2	75.296596581964	-0.111194926868963	0.123851061827501	-0.897811655614505	0.36928596965966	0.464751176448038	Mid Phase	ENSG00000256553_TRAV1-2
ENSG00000158292.7_GPR153	98.990420988138	-0.0965341033895742	0.115111922413948	-0.838610817760758	0.401687738185493	0.496090168594113	Mid Phase	ENSG00000158292_GPR153
ENSG00000169895.6_SYAP1	629.29600856769	-0.0956490693932411	0.0368029939940494	-2.59894804777857	0.0093509924276262	0.0180271606006885	Mid Phase	ENSG00000169895_SYAP1
ENSG00000170348.9_TMED10	2738.8947714763	-0.0733662492681831	0.0300589873573897	-2.44074254384843	0.0146570998546286	0.0273205963598208	Mid Phase	ENSG00000170348_TMED10
ENSG00000172985.11_SH3RF3	140.638377219732	-0.0634077483322966	0.114093243289826	-0.555753754595481	0.578379203521027	0.653314463615502	Mid Phase	ENSG00000172985_SH3RF3
ENSG00000185010.15_F8	104.651683344749	-0.0585556432125059	0.0587708414489439	-0.996338350257841	0.319085776203512	0.414389606118308	Mid Phase	ENSG00000185010_F8
ENSG00000174807.4_CD248	106.946515705728	0.0021732348280524	0.164516835675449	0.0132098020189237	0.989460409443169	0.992033886470834	Mid Phase	ENSG00000174807_CD248
ENSG00000164530.15_PI16	115.245794855111	0.0232792963975729	0.101517495191733	0.229313147981105	0.818625535120409	0.85531958014883	Mid Phase	ENSG00000164530_PI16
ENSG00000132386.11_SERPINF1	111.02050606103	0.117598285750352	0.0913269833050818	1.28766199752279	0.197863647708012	0.279191237467322	Mid Phase	ENSG00000132386_SERPINF1
